proxy,age,age_uncertainty_older,age_uncertainty_younger,co2,co2_uncertainty_higher,co2_uncertainty_lower,modern_latitude,modern_longitude
Stomatal Frequencies,15900,100,400,385.43,16.16,16.12,47,-116.3
Stomatal Frequencies,15900,100,400,521.24,57.21,46.77,47,-116.3
Stomatal Frequencies,15900,100,400,546.51,71.58,58.83,47,-116.3
Stomatal Frequencies,15900,100,400,729.67,103,80.03,47,-116.3
Stomatal Frequencies,15900,100,400,528.38,64.87,52.8,47,-116.3
Stomatal Frequencies,15900,100,400,613.21,123.49,87.43,47,-116.3
Stomatal Frequencies,15900,100,400,627.96,101.08,74.21,47,-116.3
Stomatal Frequencies,15900,100,400,765.95,82.34,70.87,47,-116.3
Stomatal Frequencies,15900,100,400,521.26,47.11,41,47,-116.3
Stomatal Frequencies,15900,100,400,465.51,59.99,49,47,-116.3
Stomatal Frequencies,15900,100,400,764.84,86.93,68.72,47,-116.3
Stomatal Frequencies,15900,100,400,736.84,156.32,109.62,47,-116.3
Stomatal Frequencies,15900,100,400,455.81,41.47,35.21,47,-116.3
Stomatal Frequencies,15900,100,400,453.03,24.13,23.1,47,-116.3
Stomatal Frequencies,15900,100,400,667.45,163.1,108.53,47,-116.3
Stomatal Frequencies,15900,100,400,408.97,18.94,17.39,47,-116.3
Stomatal Frequencies,15900,100,400,569.42,79.4,62.55,47,-116.3
Stomatal Frequencies,15900,100,400,544.24,50.82,44.6,47,-116.3
Stomatal Frequencies,15900,100,400,432,21.93,20.46,47,-116.3
Stomatal Frequencies,15900,100,400,362.48,16.33,16.41,47,-116.3
Stomatal Frequencies,15900,100,400,450.77,36.45,33.13,47,-116.3
Stomatal Frequencies,15900,100,400,392.03,20.12,19.07,47,-116.3
Stomatal Frequencies,15900,100,400,363.86,13.6,14.03,47,-116.3
Stomatal Frequencies,15900,100,400,475.38,61.26,50.13,47,-116.3
Stomatal Frequencies,15900,100,400,428.61,20,18.89,47,-116.3
Stomatal Frequencies,15900,100,400,560.28,60.89,50.69,47,-116.3
Stomatal Frequencies,15900,100,400,498.92,41.11,36.23,47,-116.3
Stomatal Frequencies,15900,100,400,683.89,70.55,60.26,47,-116.3
Stomatal Frequencies,15900,100,400,728.41,41.32,38.31,47,-116.3
Stomatal Frequencies,15900,100,400,633.36,91.16,71.1,47,-116.3
Stomatal Frequencies,15900,100,400,467.99,37.53,33.69,47,-116.3
Stomatal Frequencies,15900,100,400,585.05,72.29,60.54,47,-116.3
Stomatal Frequencies,15900,100,400,670.47,135.76,98.41,47,-116.3
Stomatal Frequencies,15900,100,400,634.34,25.97,26.38,47,-116.3
Stomatal Frequencies,37840,1990,1990,634,490,201,64.8,-101.06667
Stomatal Frequencies,64500,500,500,344,4,4,44.95,-108.87
Stomatal Frequencies,64500,500,500,339,6,5,45.07,
Stomatal Frequencies,64100,200,200,329,5,4,40,
Stomatal Frequencies,64000,1000,1000,341,5,4,77.5,
Stomatal Frequencies,40250,1750,1750,428.7,55,55,21.7092,110.88872
Stomatal Frequencies,40250,1750,1750,573.77,55,55,21.7092,110.88872
Stomatal Frequencies,2943.5,353.5,353.5,410.45,28.95,28.95,24.68333,98.63333
Stomatal Frequencies,2943.5,353.5,353.5,425.05,47.25,47.25,24.68333,98.63333
Stomatal Frequencies,24000,1000,1000,476,107,107,,
Stomatal Frequencies,26000,1500,1500,429,79,79,,
Stomatal Frequencies,33800,1000,1000,409,80,80,,
Stomatal Frequencies,34000,1000,1000,410,48,48,,
Stomatal Frequencies,35500,1000,1000,365,72,72,,
Stomatal Frequencies,36000,1500,1500,422,72,72,,
Stomatal Frequencies,37500,1500,1500,538,93,93,,
Stomatal Frequencies,39000,1500,1500,633,138,138,,
Stomatal Frequencies,63800,200,200,470,296,150,39.38,-104.85
Stomatal Frequencies,15780,39,39,382,,,47,-116.3
Stomatal Frequencies,60000,2000,2000,312,25,25,-43.7043,171.4001
Stomatal Frequencies,65500,500,500,361,26,26,-43.1328,171.7686
Stomatal Frequencies,65900,100,100,366,32,32,-43.1328,171.7686
Stomatal Frequencies,60000,2000,2000,306,62,62,-43.7043,171.4001
Stomatal Frequencies,65500,500,500,381,72,72,-43.1328,171.7686
Stomatal Frequencies,65900,100,100,390,110,110,-43.1328,171.7686
